128,1024,4,0,0,524288,8,0,0,
16,1024,4,0,0,524288,8,0,0,
32,1024,4,0,0,524288,8,0,0,
64,1024,4,0,0,524288,8,0,0,
128,16384,4,0,0,524288,8,0,0,
16,16384,4,0,0,524288,8,0,0,
32,16384,4,0,0,524288,8,0,0,
64,16384,4,0,0,524288,8,0,0,
128,2048,4,0,0,524288,8,0,0,
16,2048,4,0,0,524288,8,0,0,
32,2048,4,0,0,524288,8,0,0,
64,2048,4,0,0,524288,8,0,0,
128,32768,4,0,0,524288,8,0,0,
16,32768,4,0,0,524288,8,0,0,
32,32768,4,0,0,524288,8,0,0,
64,32768,4,0,0,524288,8,0,0,
128,4096,4,0,0,524288,8,0,0,
16,4096,4,0,0,524288,8,0,0,
32,4096,4,0,0,524288,8,0,0,
64,4096,4,0,0,524288,8,0,0,
128,8192,4,0,0,524288,8,0,0,
16,8192,4,0,0,524288,8,0,0,
32,8192,4,0,0,524288,8,0,0,
64,8192,4,0,0,524288,8,0,0,
128,1024,4,0,0,524288,8,0,0,63640,14675,36360,5688,0.203630,7291,0,20363,846,0,0,7291,0,0.041546,0,0,846,
16,1024,4,0,0,524288,8,0,0,63640,7177,36360,7554,0.147310,8271,0,14731,4713,0,0,8271,0,0.319938,0,0,4713,
32,1024,4,0,0,524288,8,0,0,63640,8449,36360,5821,0.142700,6689,0,14270,2582,0,0,6689,0,0.180939,0,0,2582,
64,1024,4,0,0,524288,8,0,0,63640,10680,36360,5159,0.158390,6362,0,15839,1452,0,0,6362,0,0.091672,0,0,1452,
128,16384,4,0,0,524288,8,0,0,63640,1175,36360,807,0.019820,921,0,1982,846,0,0,921,0,0.426842,0,0,846,
16,16384,4,0,0,524288,8,0,0,63640,840,36360,3983,0.048230,3200,0,4823,4713,0,0,3200,0,0.977193,0,0,4713,
32,16384,4,0,0,524288,8,0,0,63640,741,36360,2091,0.028320,1782,0,2832,2582,0,0,1782,0,0.911723,0,0,2582,
64,16384,4,0,0,524288,8,0,0,63640,840,36360,1205,0.020450,1150,0,2045,1452,0,0,1150,0,0.710024,0,0,1452,
128,2048,4,0,0,524288,8,0,0,63640,9363,36360,3974,0.133370,5108,0,13337,846,0,0,5108,0,0.063433,0,0,846,
16,2048,4,0,0,524288,8,0,0,63640,4699,36360,5922,0.106210,6339,0,10621,4713,0,0,6339,0,0.443744,0,0,4713,
32,2048,4,0,0,524288,8,0,0,63640,5170,36360,4452,0.096220,4942,0,9622,2582,0,0,4942,0,0.268343,0,0,2582,
64,2048,4,0,0,524288,8,0,0,63640,6496,36360,3830,0.103260,4523,0,10326,1452,0,0,4523,0,0.140616,0,0,1452,
128,32768,4,0,0,524288,8,0,0,63640,470,36360,637,0.011070,540,0,1107,846,0,0,540,0,0.764228,0,0,846,
16,32768,4,0,0,524288,8,0,0,63640,790,36360,3964,0.047540,2165,0,4754,4713,0,0,2165,0,0.991376,0,0,4713,
32,32768,4,0,0,524288,8,0,0,63640,570,36360,2070,0.026400,1236,0,2640,2582,0,0,1236,0,0.978030,0,0,2582,
64,32768,4,0,0,524288,8,0,0,63640,448,36360,1110,0.015580,751,0,1558,1452,0,0,751,0,0.931964,0,0,1452,
128,4096,4,0,0,524288,8,0,0,63640,5563,36360,2740,0.083030,3313,0,8303,846,0,0,3313,0,0.101891,0,0,846,
16,4096,4,0,0,524288,8,0,0,63640,2931,36360,4623,0.075540,4826,0,7554,4713,0,0,4826,0,0.623908,0,0,4713,
32,4096,4,0,0,524288,8,0,0,63640,2941,36360,3051,0.059920,3369,0,5992,2582,0,0,3369,0,0.430908,0,0,2582,
64,4096,4,0,0,524288,8,0,0,63640,3576,36360,2613,0.061890,3011,0,6189,1452,0,0,3011,0,0.234610,0,0,1452,
128,8192,4,0,0,524288,8,0,0,63640,3101,36360,1734,0.048350,2092,0,4835,846,0,0,2092,0,0.174974,0,0,846,
16,8192,4,0,0,524288,8,0,0,63640,1739,36360,4206,0.059450,4050,0,5945,4713,0,0,4050,0,0.792767,0,0,4713,
32,8192,4,0,0,524288,8,0,0,63640,1844,36360,2403,0.042470,2496,0,4247,2582,0,0,2496,0,0.607959,0,0,2582,
64,8192,4,0,0,524288,8,0,0,63640,2138,36360,1721,0.038590,1943,0,3859,1452,0,0,1943,0,0.376263,0,0,1452,
